From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
#YASUKI
175;177;sea;267;-1;-1;-1;-1;YasukiYashiki-WatchTowerEast
180;181;river_large;268;-1;-1;-1;-1;YasukiHanko-ShiroKano
178;9;river_large;269;-1;-1;-1;-1;zenshouTetsu-ClearWaterVillage
332;176;sea;423;-1;-1;-1;-1;ShinseiLastHope-YasukiLands
#DAIDOJI
188;34;river_large;271;-1;-1;445;435;daidojiTrainingGrounds-HigashiyamaMura
395;32;sea;420;-1;-1;-1;-1;sabishiiDetroit
#KAKITA
39;37;river_large;386;-1;-1;-1;-1;shiroIwasaki-ShiroAshitaka
25;461;river_large;384;-1;-1;-1;-1;KyudenShika-ShiroKosaten
#LION
50;461:river_large;368;-1;-1;-1;-1;KyudenShika-MakotoSeido
48;51;river_large;367;-1;-1;-1;-1;IkedaToshi-KyakuchuMura
#DOJI
323;45;river_large;283;-1;-1;-1;-1;Toshiranbo-kyoteicastle
27;262;river_large;390;-1;-1;-1;-1;wasp-DOJI
20;15;river_large;391;-1;-1;-1;-1;doji-doji
40;41;river_large;391;-1;-1;-1;-1;samuikazetoshi-jurojin
12;18;sea;392;-1;-1;-1;-1;kyudenDoji-IslandTemple
16;18;sea;392;-1;-1;-1;-1;shiroOyomesan-IslandTemple
#TSURUCHI
263;261;river_large;276;-1;-1;-1;-1;QuietStreamVillage-KyudenAshinagabachi
#SHIBA
63;132;river_large;280;-1;-1;-1;-1;ShiroAkodo-KintaniMoriEmpty
72;129;river_large;282;-1;-1;-1;-1;ShiroSeizaku-ShinseiMonastery1
94;322:river_large;284;-1;-1;-1;-1;Nikesake-dragonMonasteryShinsei
#SHINJO
228;232;river_large;363;-1;-1;-1;-1;x
239;236;river_large;357;-1;-1;-1;-1;x
211;230;river_large;356;-1;-1;-1;-1;x
222;223;river_large;396;-1;-1;-1;-1;Furudera-LostMoto
#IUCHI
221;231;river_large;393;-1;-1;-1;-1;x
# Imperial
148;145;river_large;426;-1;-1;-1;-1;SeppunTower-SeppunShiro2
142;139;river_large;424;-1;-1;-1;-1;TowerSunSet;OTosanUchi
147;142;river_large;425;-1;-1;-1;-1;SunsetTower-SeppunPort
#Dunno
89;325;river_large;353;-1;-1;-1;-1;x
70;319;river_large;350;-1;-1;-1;-1;x
93;210;river_large;363;-1;-1;-1;-1;x
#Scorpion
166;168;river_large;371;-1;-1;-32;;-1;CaslteOfPretenting-Ginasutra
333;170;river_large;369;-1;-1;-1;-1;Miya-RyokoOwari
#KITSUNE
257;256;river_large;376;-1;-1;-1;-1;KitsuneMori-KyudenKitsune
#SEPPUN
149;145;river_large;386;-1;-1;-1;-1;SeppunShiros
#USAGI
259;258;river_large;376;-1;-1;-1;-1;Hare-Ronin
260;258;river_large;379;-1;-1;-1;-1;Hare-HareMura
# MANTIS 
340;341;sea;451;688;347;711;324;east_mantis_island
343;344;sea;446;-1;-1;821;238;city_lighting_island
-1;-1;;-1;-1;-1;-1;-1;
